AREA,LDP,Index flood,,,,,,,,,-1.801945807,0.244052892,66.20979241
1800.92,152.3,183.0255,,,,,,,,,1.113490666,0.059496349,26.55211808
31.4,14.18,9.581,,,,,,,,,0.5318383,98.99685467,#N/A
130.1,30.25,3.815,,,,,,,,,34.6484306,61,#N/A
344.36,42.68,80.671,,,,,,,,,679135.3809,597823.0113,#N/A
710.96,61.41,200.849,,,,,,,,,,,
67.25,22.87,19.9025,,,,,,,,,,,
851.65,53.5,38.238,,,,,,,,,,,
70.46,26.99,10.044001,,,,,,,,,,,
73.06,23.15,56.542,,,,,,,,,,,
661.92,67.37,203.101,,,,,,,,,,,
2172.36,94.29,880.582,,,,,,,,,,,
204.57,32.05,15.280001,,,,,,,,,,,
183.79,38.23,8.17,,,,,,,,,,,
41.01,12.1,29.912,,,,,,,,,,,
48.51,12.41,12.978,,,,,,,,,,,
1008.74,93.29,222.987,,,,,,,,,,,
44.59,15.22,10.74,,,,,,,,,,,
7.51,5.76,5.9845,,,,,,,,,,,
131.51,20.47,52.036,,,,,,,,,,,
147.14,31.7,82.964,,,,,,,,,,,
4329.83,222.49,337.019,,,,,,,,,,,
276.57,39.11,87.59,,,,,,,,,,,
86.87,25.47,71.791,,,,,,,,,,,
196.12,36.89,43.264,,,,,,,,,,,
43.93,16.21,41.904,,,,,,,,,,,
111.76,30.44,29.921,,,,,,,,,,,
79.92,22.7,45.54,,,,,,,,,,,
464.65,40.55,312.78198,,,,,,,,,,,
26.31,10.06,3.299,,,,,,,,,,,
509.54,68.74,97.8385,,,,,,,,,,,
46.28,14,62.850502,,,,,,,,,,,
363.01,41.47,97.957,,,,,,,,,,,
1121.49,62.57,350.319,,,,,,,,,,,
273.62,44.66,53.9395,,,,,,,,,,,
21.61,7.74,12.9939995,,,,,,,,,,,
532.29,55.13,57.193,,,,,,,,,,,
44.31,17.73,37.518,,,,,,,,,,,
72.16,28.46,39.278,,,,,,,,,,,
110.98,22.48,63.798,,,,,,,,,,,
72.07,25.75,0.992,,,,,,,,,,,
220.39,24.84,81.2715,,,,,,,,,,,
70.11,21.6,101.718506,,,,,,,,,,,
102.05,32.11,32.443,,,,,,,,,,,
67.08,22,30.72,,,,,,,,,,,
37.37,15.7,5.916,,,,,,,,,,,
475.92,55.62,14.8245,,,,,,,,,,,
159.94,32.98,4.946,,,,,,,,,,,
29.52,11.29,1.9195,,,,,,,,,,,
311.37,45.99,8.005,,,,,,,,,,,
76.64,21.74,11.943,,,,,,,,,,,
1833.26,127.75,556.402,,,,,,,,,,,
365.69,44.36,141.8645,,,,,,,,,,,
216.18,29.6,49.925,,,,,,,,,,,
215.68,34.69,15.2275,,,,,,,,,,,
92.75,21.39,13.571,,,,,,,,,,,
419.59,58.16,37.42,,,,,,,,,,,
27.55,9.78,1.014,,,,,,,,,,,
83.87,17.01,1.0239999,,,,,,,,,,,
23.93,12.42,11.0105,,,,,,,,,,,
51.9,15.2,55.2905,,,,,,,,,,,
277.83,33.62,80.132,,,,,,,,,,,
423.73,52.48,143.5525,,,,,,,,,,,
55.33,14.94,8.0285,,,,,,,,,,,
219.28,39.43,93.647,,,,,,,,,,,
16.78,7.05,1.1935,,,,,,,,,,,
176.63,26.3,26.832,,,,,,,,,,,
441.1,47.24,130.02,,,,,,,,,,,
235.21,34.4,3.545,,,,,,,,,,,
31.53,15.6,28.011,,,,,,,,,,,
137.99,31.43,14.7145,,,,,,,,,,,
80.4,17.78,3.2480001,,,,,,,,,,,
88,22.57,83.0485,,,,,,,,,,,
85.7,32,12.51,,,,,,,,,,,
36.8,15.9,16.7915,,,,,,,,,,,
1267.1,122.65,391.952,,,,,,,,,,,
80.2,26.35,59.565,,,,,,,,,,,
142.76,27.28,132.887,,,,,,,,,,,
74.26,14.29,30.622501,,,,,,,,,,,
-999,40.88,63.141,,,,,,,,,,,
237.23,43.72,106.947,,,,,,,,,,,
707.72,50.58,16.643501,,,,,,,,,,,
95.53,19.26,2.6525002,,,,,,,,,,,
161.41,26.24,6.221,,,,,,,,,,,
16.03,7.13,12.3125,,,,,,,,,,,
247.09,59.18,11.5825,,,,,,,,,,,
324.39,33.62,190.012,,,,,,,,,,,
12.79,7.27,15.362,,,,,,,,,,,
100.76,30.2,10.692,,,,,,,,,,,
22.27,13.73,37.406,,,,,,,,,,,
100.1,18.55,2.224,,,,,,,,,,,
246.4,39.41,175.301,,,,,,,,,,,
147.85,36.72,45.6445,,,,,,,,,,,
212,39.41,74.983,,,,,,,,,,,
38.48,16.68,12.8505,,,,,,,,,,,
107.29,35.78,3.61,,,,,,,,,,,
128.9,29.42,18.651,,,,,,,,,,,
67.75,20.76,17.238,,,,,,,,,,,
19.09,8.75,13.357,,,,,,,,,,,
47.49,14.36,69.063,,,,,,,,,,,
306.06,35.07,7.983,,,,,,,,,,,
71.18,12.11,63.66,,,,,,,,,,,
114.01,25.15,4.643,,,,,,,,,,,
1483.65,117.13,164.116,,,,,,,,,,,
123.45,28.03,111.347,,,,,,,,,,,
57.92,16.92,1.873,,,,,,,,,,,
202.32,42.95,80.886,,,,,,,,,,,
786.1,64.99,123.938995,,,,,,,,,,,
239.07,31.32,60.6065,,,,,,,,,,,
925.03,77.44,317.10498,,,,,,,,,,,
194.15,28.33,286.77,,,,,,,,,,,
34.37,12.4,37.765,,,,,,,,,,,
781.74,100.03,319.8985,,,,,,,,,,,
126.74,34.81,3.51,,,,,,,,,,,
87.41,17.88,26.158,,,,,,,,,,,
193.75,27.85,105.035,,,,,,,,,,,
420.71,56.02,144.926,,,,,,,,,,,
156.9,27.31,28.104,,,,,,,,,,,
1093,95.06,274.929,,,,,,,,,,,
661.04,71.26,185.524,,,,,,,,,,,
143.43,21.83,8.083,,,,,,,,,,,
190.8,32.43,218.219,,,,,,,,,,,
248.51,45.93,140.487,,,,,,,,,,,
26.53,8.28,2.591,,,,,,,,,,,
68.85,25.12,10.267,,,,,,,,,,,
326.99,33.19,122.4075,,,,,,,,,,,
8.45,5.83,4.302,,,,,,,,,,,
76.17,28.15,78.224,,,,,,,,,,,
67.14,16.68,89.601,,,,,,,,,,,
273.84,37.91,137.373,,,,,,,,,,,
86.29,21.27,1.294,,,,,,,,,,,
112.7,21.93,40.282,,,,,,,,,,,
429.98,58.58,262.267,,,,,,,,,,,
797.71,79.51,447.263,,,,,,,,,,,
242.36,37.84,193.78,,,,,,,,,,,
136.48,28.58,3.08,,,,,,,,,,,
122.39,17.61,7.551,,,,,,,,,,,
243.84,49.54,40.91,,,,,,,,,,,
124.47,33.35,35.577,,,,,,,,,,,
34.8,18.45,41.879,,,,,,,,,,,
4398.66,152.98,780.8,,,,,,,,,,,
47.71,15.44,12.73,,,,,,,,,,,
77.76,29.29,4.55,,,,,,,,,,,
404.67,44.56,48.44,,,,,,,,,,,
139.13,27.75,176.9005,,,,,,,,,,,
38.57,15.42,6.448,,,,,,,,,,,
65.35,18.26,90.2495,,,,,,,,,,,
13.37,9.95,21.629,,,,,,,,,,,
191.38,30.06,67.405,,,,,,,,,,,
961.4,84.53,249.202,,,,,,,,,,,
142.08,28.14,16.8,,,,,,,,,,,
116.17,23.42,46.587,,,,,,,,,,,
170.87,32.6,164.224,,,,,,,,,,,
155.85,35.13,11.3975,,,,,,,,,,,
273.03,36.95,134.8995,,,,,,,,,,,
201.44,29.48,10.914,,,,,,,,,,,
19.31,10.04,28.578,,,,,,,,,,,
36.62,14.62,24.619999,,,,,,,,,,,
86.81,24.01,73.776,,,,,,,,,,,
79.62,14.38,183.936,,,,,,,,,,,
22.51,11.18,10.996,,,,,,,,,,,
6.81,6.01,3.233,,,,,,,,,,,
324.54,50.74,200.433,,,,,,,,,,,
56.9,19.07,30.143501,,,,,,,,,,,
20.16,8.56,18.885,,,,,,,,,,,
153.94,23.28,54.1245,,,,,,,,,,,
13.66,6.69,15.25,,,,,,,,,,,
157.63,48.2,31.315,,,,,,,,,,,
118.07,23,48.41,,,,,,,,,,,
481.29,60.21,29.561,,,,,,,,,,,
78.06,16.32,16.211,,,,,,,,,,,
228.81,40.16,7.979,,,,,,,,,,,
225.76,52.04,21.8545,,,,,,,,,,,
138.5,26.2,39.128,,,,,,,,,,,
540.69,64.94,224.352,,,,,,,,,,,
153.39,24.45,14.5875,,,,,,,,,,,
59.03,16.09,6.147,,,,,,,,,,,
22.17,10.46,19.1,,,,,,,,,,,
327.81,50.5,9.363,,,,,,,,,,,
912.58,102.47,274.979,,,,,,,,,,,
545.59,53.12,344.946,,,,,,,,,,,
53.88,14.1,19.135,,,,,,,,,,,
170.88,32.06,7.139,,,,,,,,,,,
174.54,41.16,92.773,,,,,,,,,,,
308.72,40.66,40.417,,,,,,,,,,,
140.83,20.19,228.4035,,,,,,,,,,,
22.91,13.27,8.133,,,,,,,,,,,
96.37,27.54,14.189,,,,,,,,,,,
446.28,74.61,219.07199,,,,,,,,,,,
361.6,70.6,11.3,,,,,,,,,,,
73.53,18.71,14.18,,,,,,,,,,,
117.54,23.51,85.372,,,,,,,,,,,
165.09,28.16,67.1785,,,,,,,,,,,
222.82,41.22,16.642,,,,,,,,,,,
456.97,52.06,50.18,,,,,,,,,,,
46.12,18.73,20.353,,,,,,,,,,,
11.34,5.59,12.329,,,,,,,,,,,
261.94,49.1,14.068,,,,,,,,,,,
183.23,25.89,124.519,,,,,,,,,,,
298.73,52.53,177.49051,,,,,,,,,,,
101.8,21.02,4.032,,,,,,,,,,,
680.84,57.82,84.218,,,,,,,,,,,
1.63,2.21,1.7865,,,,,,,,,,,
741.79,78.16,196.355,,,,,,,,,,,
815.36,118.52,203.5645,,,,,,,,,,,
8.15,5.22,4.6099997,,,,,,,,,,,
186.31,29.69,35.263,,,,,,,,,,,
102.37,32.97,64.659,,,,,,,,,,,
1064.02,106.4,114.852,,,,,,,,,,,
232.84,30.34,137.516,,,,,,,,,,,
7.93,6.17,4.7,,,,,,,,,,,
440.5,48.28,279.439,,,,,,,,,,,
145.91,33.94,59.8715,,,,,,,,,,,
40.83,10.79,14.023,,,,,,,,,,,
274.99,34.06,7.813,,,,,,,,,,,
48.05,14.87,66.609,,,,,,,,,,,
18.84,10.2,9.2,,,,,,,,,,,
167.21,37.65,49.191498,,,,,,,,,,,
249.75,38.72,234.524,,,,,,,,,,,
32.47,10.73,22.9025,,,,,,,,,,,
95.66,26.71,5.23,,,,,,,,,,,
72.57,18.4,43.99,,,,,,,,,,,
1699.42,120.26,376.597,,,,,,,,,,,
298.98,46.75,61.718002,,,,,,,,,,,
304.23,46.99,112.373505,,,,,,,,,,,
510.17,55.01,259.9165,,,,,,,,,,,
173.1,30.43,22.653,,,,,,,,,,,
237.26,30.65,104.6155,,,,,,,,,,,
72.78,18.3,8.753,,,,,,,,,,,
42.69,11.99,8.922,,,,,,,,,,,
345.99,49.21,129.6655,,,,,,,,,,,
50.32,20.74,4.938,,,,,,,,,,,
227.46,39.92,249.889,,,,,,,,,,,
120.87,30.28,50.021,,,,,,,,,,,
985.37,74.98,623.318,,,,,,,,,,,
72.9,18.99,18.921,,,,,,,,,,,
495.37,61.01,354.5665,,,,,,,,,,,
172.96,19.74,82.9615,,,,,,,,,,,
197.8,30.52,56.04,,,,,,,,,,,
99.34,17.89,15.001,,,,,,,,,,,
132.65,22.55,13.775,,,,,,,,,,,
113.44,23.68,19.113499,,,,,,,,,,,
166.3,47.03,24.558498,,,,,,,,,,,
7.98,6.22,1.309,,,,,,,,,,,
59.4,23.89,1.718,,,,,,,,,,,
102.4,31.08,35.726,,,,,,,,,,,
165.21,47.3,2.23,,,,,,,,,,,
913.2,94.4,400.5975,,,,,,,,,,,
44.58,16.23,33.308502,,,,,,,,,,,
146.97,25.82,107.313,,,,,,,,,,,
15.7,9.02,2.645,,,,,,,,,,,
12.87,7.84,16.3555,,,,,,,,,,,
698.01,49.76,176.675,,,,,,,,,,,
598.42,68.98,189.4815,,,,,,,,,,,
179.98,27.65,49.309,,,,,,,,,,,
202.54,31.7,27.319,,,,,,,,,,,
197.07,37.67,84.27,,,,,,,,,,,
131.51,29.33,50.652,,,,,,,,,,,
243.63,55.15,90.921,,,,,,,,,,,
105.98,25.12,50.897,,,,,,,,,,,
40.83,13.66,5.53,,,,,,,,,,,
282.03,39.06,100.858505,,,,,,,,,,,
3300.8,152.06,318.5,,,,,,,,,,,
584.7,55.63,203.9845,,,,,,,,,,,
127.45,29.45,36.936,,,,,,,,,,,
2276.03,125.23,611.515,,,,,,,,,,,
203.22,42.98,118.832,,,,,,,,,,,
118.86,37.24,36.964,,,,,,,,,,,
64.54,15.46,8.856,,,,,,,,,,,
247.81,36.16,72.636505,,,,,,,,,,,
22.44,8.08,15.2815,,,,,,,,,,,
216.64,39.5,45.461502,,,,,,,,,,,
468.87,58.77,336.24548,,,,,,,,,,,
118.62,16.43,132.02701,,,,,,,,,,,
24.92,11.6,6.6375,,,,,,,,,,,
185.16,24.06,23.213,,,,,,,,,,,
24.58,9.44,31.368,,,,,,,,,,,
1371.7,105.81,421.142,,,,,,,,,,,
229.26,35.62,123.004,,,,,,,,,,,
78.28,26.13,21.878,,,,,,,,,,,
202.79,41,68.1455,,,,,,,,,,,
